dt,country,terrorism_insurgency,war_military_conflict,regional_disintegration,financial_sanctions,trade_disputes,cyber_warfare,energy_resource_conflicts,global_governance,nuclear_proliferation,territorial_disputes,other,TOTAL
01/11/2007,DE,0.128990648,0.193485972,0,0.257981296,0.612705579,0,1.225411158,0.32247662,0.032247662,0.032247662,0.451467269,3.257013866
01/12/2007,DE,0.038850039,0.194250194,0.038850039,0.155400155,0.34965035,0,0.66045066,0.310800311,0.077700078,0.233100233,0.34965035,2.408702409
01/01/2008,DE,0,0.281690141,0,0.070422535,0.281690141,0,1.373239437,0.176056338,0.211267606,0.035211268,0.563380282,2.992957746
01/02/2008,DE,0.109609061,0.073072707,0.036536354,0.146145415,0.292290829,0.073072707,0.584581659,0.182681768,0.073072707,0,0.474972598,2.046035806
01/03/2008,DE,0.036245016,0.28996013,0,0.036245016,0.616165277,0,0.797390359,0.28996013,0.072490033,0.036245016,0.434940196,2.609641174
01/04/2008,DE,0.067773636,0.101660454,0,0.101660454,0.304981362,0,0.677736361,0.237207726,0.033886818,0.033886818,0.33886818,1.89766181
01/05/2008,DE,0.12541806,0.334448161,0.12541806,0.08361204,0.25083612,0,1.295986622,0.2090301,0.04180602,0.08361204,0.334448161,2.884615385
01/06/2008,DE,0.042176297,0.084352594,0.126528891,0.126528891,0.295234078,0,2.446225221,0.379586672,0.210881485,0.042176297,0.506115563,4.259805989
01/07/2008,DE,0.075329567,0.188323917,0.037664783,0.263653484,0.828625235,0.037664783,2.184557439,0.150659134,0.188323917,0.11299435,0.677966102,4.745762712
01/08/2008,DE,0.125523013,0.334728033,0.083682008,0.167364017,0.334728033,0,0.878661088,0.083682008,0.167364017,0.041841004,0.292887029,2.510460251
01/09/2008,DE,0.073394495,0.073394495,0,0.440366972,0.036697248,0,1.064220183,0.293577982,0,0,0.95412844,2.935779817
01/10/2008,DE,0.125549278,0.03138732,0.188323917,0.439422473,0.282485876,0,0.564971751,1.537978657,0.094161959,0.062774639,0.816070308,4.143126177
01/11/2008,DE,0,0.325732899,0,0,0.361925443,0,1.121968874,0.723850887,0,0.036192544,0.579080709,3.148751357
01/12/2008,DE,0.080128205,0.360576923,0.200320513,0.120192308,0.360576923,0,1.5625,0.761217949,0.040064103,0.080128205,1.001602564,4.567307692
01/01/2009,DE,0.032701112,0.294310007,0.163505559,0.065402224,0.228907783,0,3.531720078,0.327011118,0.032701112,0,0.686723349,5.362982341
01/02/2009,DE,0.033112583,0.198675497,0.496688742,0.264900662,1.092715232,0,1.026490066,0.529801325,0.165562914,0.132450331,0.298013245,4.238410596
01/03/2009,DE,0.090771558,0.121028744,0.363086233,0.181543116,0.453857791,0.030257186,0.786686838,1.028744327,0.060514372,0,0.69591528,3.812405446
01/04/2009,DE,0.203527815,0.339213026,0,0.169606513,0.203527815,0.067842605,0.644504749,1.017639077,0.237449118,0,0.339213026,3.222523745
01/05/2009,DE,0.035549236,0.24884465,0.035549236,0.106647707,0.213295414,0.035549236,0.462140064,0.142196943,0.071098471,0.035549236,0.533238535,1.919658727
01/06/2009,DE,0.107719928,0.215439856,0.071813285,0.035906643,0.610412926,0,0.861759425,0.574506284,0.071813285,0.035906643,0.646319569,3.231597846
01/07/2009,DE,0.19795447,0.560871,0.032992412,0.065984823,0.296931706,0,1.286704058,0.461893764,0.032992412,0.098977235,0.362916529,3.39821841
